multi_query_id,query_id,selected_plans,total_cost
80,1,"q_80_10,q_80_11,q_80_12,q_80_13,q_80_14,q_80_15,q_80_18",-3982.0
80,3,q_80_3,-3982.0
80,4,q_80_4,-3982.0
80,5,q_80_5,-3982.0
80,6,q_80_6,-3982.0
81,1,"q_81_1,q_81_10,q_81_11,q_81_12,q_81_13,q_81_14,q_81_15",-3982.0
81,2,q_81_2,-3982.0
81,6,q_81_6,-3982.0
82,0,q_82_0,-3982.0
82,1,"q_82_1,q_82_11,q_82_12,q_82_13,q_82_14",-3982.0
82,2,q_82_2,-3982.0
82,3,q_82_3,-3982.0
82,4,q_82_4,-3982.0
82,5,q_82_5,-3982.0
83,0,q_83_0,-3982.0
83,1,"q_83_1,q_83_10,q_83_12,q_83_14,q_83_15,q_83_16",-3982.0
83,2,q_83_2,-3982.0
83,3,q_83_3,-3982.0
83,4,q_83_4,-3982.0
83,6,q_83_6,-3982.0
84,0,q_84_0,-3982.0
84,1,"q_84_1,q_84_11,q_84_13,q_84_15",-3982.0
84,2,q_84_2,-3982.0
84,3,q_84_3,-3982.0
84,4,q_84_4,-3982.0
84,5,q_84_5,-3982.0
84,6,q_84_6,-3982.0
85,0,q_85_0,-3982.0
85,1,"q_85_1,q_85_10,q_85_12,q_85_14,q_85_15,q_85_16,q_85_18",-3982.0
85,2,q_85_2,-3982.0
85,3,q_85_3,-3982.0
85,4,q_85_4,-3982.0
85,6,q_85_6,-3982.0
85,7,q_85_7,-3982.0
86,1,"q_86_1,q_86_13,q_86_17",-3982.0
86,2,q_86_2,-3982.0
86,3,q_86_3,-3982.0
86,4,q_86_4,-3982.0
87,1,"q_87_11,q_87_12,q_87_13,q_87_15,q_87_16",-3982.0
87,3,q_87_3,-3982.0
87,5,q_87_5,-3982.0
87,7,q_87_7,-3982.0
88,0,q_88_0,-3982.0
88,1,"q_88_11,q_88_13,q_88_14,q_88_17,q_88_18,q_88_19",-3982.0
88,2,q_88_2,-3982.0
88,3,q_88_3,-3982.0
88,4,q_88_4,-3982.0
88,6,q_88_6,-3982.0
89,1,"q_89_1,q_89_11,q_89_12,q_89_15,q_89_16,q_89_17,q_89_18,q_89_19",-3982.0
89,2,q_89_2,-3982.0
89,4,q_89_4,-3982.0
89,6,q_89_6,-3982.0
89,7,q_89_7,-3982.0
90,1,"q_90_1,q_90_11,q_90_12,q_90_13,q_90_14,q_90_15",-3982.0
90,4,q_90_4,-3982.0
90,5,q_90_5,-3982.0
91,1,"q_91_1,q_91_10,q_91_11,q_91_12,q_91_13,q_91_15,q_91_16,q_91_17",-3982.0
91,4,q_91_4,-3982.0
91,5,q_91_5,-3982.0
91,6,q_91_6,-3982.0
92,0,q_92_0,-3982.0
92,1,"q_92_1,q_92_10,q_92_11,q_92_13,q_92_14,q_92_17",-3982.0
92,2,q_92_2,-3982.0
92,4,q_92_4,-3982.0
92,6,q_92_6,-3982.0
93,0,q_93_0,-3982.0
93,1,"q_93_1,q_93_11,q_93_12,q_93_13,q_93_14",-3982.0
93,2,q_93_2,-3982.0
93,6,q_93_6,-3982.0
94,1,"q_94_1,q_94_11,q_94_12,q_94_13,q_94_17,q_94_18",-3982.0
94,3,q_94_3,-3982.0
94,4,q_94_4,-3982.0
94,5,q_94_5,-3982.0
94,7,q_94_7,-3982.0
95,1,"q_95_1,q_95_11,q_95_12,q_95_13,q_95_15,q_95_17,q_95_19",-3982.0
95,2,"q_95_2,q_95_20,q_95_21",-3982.0
95,3,q_95_3,-3982.0
95,6,q_95_6,-3982.0
96,1,"q_96_1,q_96_10,q_96_11,q_96_12,q_96_13",-3982.0
96,2,q_96_20,-3982.0
96,3,q_96_3,-3982.0
96,4,q_96_4,-3982.0
96,6,q_96_6,-3982.0
96,7,q_96_7,-3982.0
97,1,"q_97_1,q_97_10,q_97_11,q_97_12,q_97_13,q_97_14,q_97_16",-3982.0
97,2,q_97_2,-3982.0
97,5,q_97_5,-3982.0
98,1,"q_98_1,q_98_11,q_98_13,q_98_14,q_98_15,q_98_17,q_98_18,q_98_19",-3982.0
98,2,"q_98_2,q_98_20",-3982.0
98,3,q_98_3,-3982.0
98,4,q_98_4,-3982.0
98,5,q_98_5,-3982.0
99,0,q_99_0,-3982.0
99,1,"q_99_1,q_99_11,q_99_12,q_99_13,q_99_14,q_99_15",-3982.0
99,3,q_99_3,-3982.0
99,5,q_99_5,-3982.0
